surveyID,surveyType,questionID,doctorID,network,dataset,imageName,answer,correctAnswers,correct,certainty
6,regular,59,5,iternet,stare,000278-iternet-stare.png,central_retinal_vein_occlusion,diabetic_retinopathy,-1,3
6,regular,66,5,iternet,stare,001041-iternet-stare.png,diabetic_retinopathy,"central_retinal_artery_occlusion,central_retinal_vein_occlusion",-1,3
6,regular,2,5,iternet,drive,000000-iternet-drive.png,central_retinal_vein_occlusion,diabetic_retinopathy,-1,3
6,regular,38,5,iternet,drive,003522-iternet-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3
6,regular,9,5,vgan,drive,000613-vgan-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3
6,regular,48,5,vgan,drive,005078-vgan-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3
6,regular,82,5,eswanet,stare,001455-eswanet-stare.png,central_retinal_artery_occlusion,arteriosclerotic_retinopathy,-1,3
6,regular,69,5,iternet_uni,stare,001041-iternet_uni-stare.png,central_retinal_vein_occlusion,"central_retinal_artery_occlusion,central_retinal_vein_occlusion",1,3
6,regular,51,5,vgan,stare,000039-vgan-stare.png,diabetic_retinopathy,"cilio_retinal_artery_occlusion,central_retinal_artery_occlusion",-1,3
6,regular,59,5,iternet,stare,000278-iternet-stare.png,central_retinal_vein_occlusion,diabetic_retinopathy,-1,3
6,regular,66,5,iternet,stare,001041-iternet-stare.png,diabetic_retinopathy,"central_retinal_artery_occlusion,central_retinal_vein_occlusion",-1,3
6,regular,2,5,iternet,drive,000000-iternet-drive.png,central_retinal_vein_occlusion,diabetic_retinopathy,-1,3
6,regular,38,5,iternet,drive,003522-iternet-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3
6,regular,9,5,vgan,drive,000613-vgan-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3
6,regular,48,5,vgan,drive,005078-vgan-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3
6,regular,82,5,eswanet,stare,001455-eswanet-stare.png,central_retinal_artery_occlusion,arteriosclerotic_retinopathy,-1,3
6,regular,69,5,iternet_uni,stare,001041-iternet_uni-stare.png,central_retinal_vein_occlusion,"central_retinal_artery_occlusion,central_retinal_vein_occlusion",1,3
6,regular,51,5,vgan,stare,000039-vgan-stare.png,diabetic_retinopathy,"cilio_retinal_artery_occlusion,central_retinal_artery_occlusion",-1,3
6,regular,59,6,iternet,stare,000278-iternet-stare.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3
6,regular,66,6,iternet,stare,001041-iternet-stare.png,diabetic_retinopathy,"central_retinal_artery_occlusion,central_retinal_vein_occlusion",-1,3
6,regular,2,6,iternet,drive,000000-iternet-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3
6,regular,38,6,iternet,drive,003522-iternet-drive.png,diabetic_retinopathy,diabetic_retinopathy,1,3
6,regular,9,6,vgan,drive,000613-vgan-drive.png,none,diabetic_retinopathy,-1,3
6,regular,48,6,vgan,drive,005078-vgan-drive.png,diabetic_retinopathy,diabetic_retinopathy,1,3
6,regular,82,6,eswanet,stare,001455-eswanet-stare.png,none,arteriosclerotic_retinopathy,-1,3
6,regular,69,6,iternet_uni,stare,001041-iternet_uni-stare.png,central_retinal_vein_occlusion,"central_retinal_artery_occlusion,central_retinal_vein_occlusion",1,4
6,regular,51,6,vgan,stare,000039-vgan-stare.png,central_retinal_artery_occlusion,"cilio_retinal_artery_occlusion,central_retinal_artery_occlusion",1,4
6,regular,59,5,iternet,stare,000278-iternet-stare.png,central_retinal_vein_occlusion,diabetic_retinopathy,-1,3
6,regular,66,5,iternet,stare,001041-iternet-stare.png,diabetic_retinopathy,"central_retinal_artery_occlusion,central_retinal_vein_occlusion",-1,3
6,regular,2,5,iternet,drive,000000-iternet-drive.png,central_retinal_vein_occlusion,diabetic_retinopathy,-1,3
6,regular,38,5,iternet,drive,003522-iternet-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3
6,regular,9,5,vgan,drive,000613-vgan-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3
6,regular,48,5,vgan,drive,005078-vgan-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3
6,regular,82,5,eswanet,stare,001455-eswanet-stare.png,central_retinal_artery_occlusion,arteriosclerotic_retinopathy,-1,3
6,regular,69,5,iternet_uni,stare,001041-iternet_uni-stare.png,central_retinal_vein_occlusion,"central_retinal_artery_occlusion,central_retinal_vein_occlusion",1,3
6,regular,51,5,vgan,stare,000039-vgan-stare.png,diabetic_retinopathy,"cilio_retinal_artery_occlusion,central_retinal_artery_occlusion",-1,3
6,regular,59,6,iternet,stare,000278-iternet-stare.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3
6,regular,66,6,iternet,stare,001041-iternet-stare.png,diabetic_retinopathy,"central_retinal_artery_occlusion,central_retinal_vein_occlusion",-1,3
6,regular,2,6,iternet,drive,000000-iternet-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3
6,regular,38,6,iternet,drive,003522-iternet-drive.png,diabetic_retinopathy,diabetic_retinopathy,1,3
6,regular,9,6,vgan,drive,000613-vgan-drive.png,none,diabetic_retinopathy,-1,3
6,regular,48,6,vgan,drive,005078-vgan-drive.png,diabetic_retinopathy,diabetic_retinopathy,1,3
6,regular,82,6,eswanet,stare,001455-eswanet-stare.png,none,arteriosclerotic_retinopathy,-1,3
6,regular,69,6,iternet_uni,stare,001041-iternet_uni-stare.png,central_retinal_vein_occlusion,"central_retinal_artery_occlusion,central_retinal_vein_occlusion",1,4
6,regular,51,6,vgan,stare,000039-vgan-stare.png,central_retinal_artery_occlusion,"cilio_retinal_artery_occlusion,central_retinal_artery_occlusion",1,4
6,regular,59,1,iternet,stare,000278-iternet-stare.png,diabetic_retinopathy,diabetic_retinopathy,1,4
6,regular,66,1,iternet,stare,001041-iternet-stare.png,central_retinal_vein_occlusion,"central_retinal_artery_occlusion,central_retinal_vein_occlusion",1,4
6,regular,2,1,iternet,drive,000000-iternet-drive.png,diabetic_retinopathy,diabetic_retinopathy,1,4
6,regular,38,1,iternet,drive,003522-iternet-drive.png,diabetic_retinopathy,diabetic_retinopathy,1,4
6,regular,9,1,vgan,drive,000613-vgan-drive.png,diabetic_retinopathy,diabetic_retinopathy,1,3
6,regular,48,1,vgan,drive,005078-vgan-drive.png,diabetic_retinopathy,diabetic_retinopathy,1,3
6,regular,82,1,eswanet,stare,001455-eswanet-stare.png,not_applicable,arteriosclerotic_retinopathy,0,4
6,regular,69,1,iternet_uni,stare,001041-iternet_uni-stare.png,diabetic_retinopathy,"central_retinal_artery_occlusion,central_retinal_vein_occlusion",-1,5
6,regular,51,1,vgan,stare,000039-vgan-stare.png,not_applicable,"cilio_retinal_artery_occlusion,central_retinal_artery_occlusion",0,4
6,regular,59,5,iternet,stare,000278-iternet-stare.png,central_retinal_vein_occlusion,diabetic_retinopathy,-1,3
6,regular,66,5,iternet,stare,001041-iternet-stare.png,diabetic_retinopathy,"central_retinal_artery_occlusion,central_retinal_vein_occlusion",-1,3
6,regular,2,5,iternet,drive,000000-iternet-drive.png,central_retinal_vein_occlusion,diabetic_retinopathy,-1,3
6,regular,38,5,iternet,drive,003522-iternet-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3
6,regular,9,5,vgan,drive,000613-vgan-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3
6,regular,48,5,vgan,drive,005078-vgan-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3
6,regular,82,5,eswanet,stare,001455-eswanet-stare.png,central_retinal_artery_occlusion,arteriosclerotic_retinopathy,-1,3
6,regular,69,5,iternet_uni,stare,001041-iternet_uni-stare.png,central_retinal_vein_occlusion,"central_retinal_artery_occlusion,central_retinal_vein_occlusion",1,3
