id,filename,dataset,type,disease_token
1,000001.png,STARE,original,normal
2,000291.png,STARE,original,normal
3,000520.png,STARE,original,normal
4,000257.png,STARE,original,normal
5,000594.png,DRIVE,original,normal
6,000278.png,DRIVE,original,normal
7,000017.png,DRIVE,original,normal
8,000000.jpg,CHASE,original,normal
9,000021.png,DRIVE,original,normal
10,001219.jpg,CHASE,original,normal
11,000005.jpg,CHASE,original,normal
12,001771.png,DRIVE,original,normal
13,003131.png,CHASE,original,normal
14,000001.png,CHASE,original,normal
15,000007.png,CHASE,original,normal
16,001691.png,CHASE,original,normal
17,000762.png,CHASE,original,normal
18,002381.png,CHASE,original,normal
19,000003.png,CHASE,original,normal
20,001202.png,CHASE,original,normal
21,000002.png,CHASE,original,normal
22,002401.png,CHASE,original,normal
23,002361.png,CHASE,original,normal
24,000000.png,CHASE,original,normal
25,001187.png,CHASE,original,normal
26,001197.png,CHASE,original,normal
27,003569.png,CHASE,original,normal
28,002379.png,CHASE,original,normal
29,001189.png,CHASE,original,normal
30,001185.png,CHASE,original,normal
31,002391.png,CHASE,original,normal
32,000006.png,CHASE,original,normal
33,001094.png,CHASE,original,normal
34,002363.png,CHASE,original,normal
35,003552.png,CHASE,original,normal
36,000004.png,CHASE,original,normal
37,002405.png,CHASE,original,normal
38,001078.png,STARE,original,background_diabetic_retinopathy
39,001041.png,STARE,original,central_retinal_artery_occlusion
40,001041.png,STARE,original,central_retinal_vein_occlusion
41,002200.png,STARE,original,vasculitis
42,000039.png,STARE,original,central_retinal_artery_occlusion
43,000039.png,STARE,original,cilio_retinal_artery_occlusion
44,002195.png,STARE,original,emboli
45,002195.png,STARE,original,non_hollenhorst
46,001146.png,STARE,original,retinitis
47,001455.png,STARE,original,arteriosclerotic_retinopathy
48,001455.png,STARE,original,choroidal_neovascularization
49,000254.png,STARE,original,normal
50,001533.png,STARE,original,normal
51,000257.png,STARE,original,normal
52,002204.png,STARE,original,normal
53,000000.png,STARE,original,normal
54,000013.png,STARE,original,normal
55,002764.png,DRIVE,original,background_diabetic_retinopathy
56,002670.png,DRIVE,original,background_diabetic_retinopathy
57,000613.png,DRIVE,original,background_diabetic_retinopathy
58,000000.png,DRIVE,original,background_diabetic_retinopathy
59,003522.png,DRIVE,original,background_diabetic_retinopathy
60,001614.png,DRIVE,original,background_diabetic_retinopathy
61,005078.png,DRIVE,original,background_diabetic_retinopathy
62,001304.png,DRIVE,original,normal
63,004036.png,DRIVE,original,normal
64,001210.png,DRIVE,original,normal
65,004111.png,DRIVE,original,normal
66,004264.png,DRIVE,original,normal
67,000001.png,DRIVE,original,normal
68,002680.png,DRIVE,original,normal
69,003597.png,DRIVE,original,normal
70,003654.png,DRIVE,original,normal
71,002354.png,DRIVE,original,normal
72,001194.png,DRIVE,original,normal
73,004776.png,DRIVE,original,normal
74,005077.png,DRIVE,original,normal
75,005050.png,DRIVE,original,normal
76,003553.png,DRIVE,original,normal
77,000348.png,DRIVE,original,normal
78,003945.png,DRIVE,original,normal
79,003537.png,DRIVE,original,normal
80,002367.png,DRIVE,original,normal
81,005118.png,DRIVE,original,normal
82,002409.png,DRIVE,original,normal
83,000819.png,DRIVE,original,normal
84,003944.png,DRIVE,original,normal
85,000633.png,DRIVE,original,normal
86,001549.png,DRIVE,original,normal
87,002745.png,DRIVE,original,normal
