,candidate,copeland_score,image,network,dataset,survey
0,48,0.0,000017-min-vesselunet-drive.png,vesselunet,drive,1.0
1,66,1.0,000017-min-iternet_uni-drive.png,iternet_uni,drive,1.0
2,40,2.0,000017-min-iternet-drive.png,iternet,drive,1.0
3,28,3.0,000017-min-vgan-drive.png,vgan,drive,1.0
4,45,5.0,000017-min-saunet-drive.png,saunet,drive,1.0
5,57,5.0,000017-min-eswanet-drive.png,eswanet,drive,1.0
6,61,6.0,000017-min-laddernet-drive.png,laddernet,drive,1.0
7,64,6.0,000017-min-unet-drive.png,unet,drive,1.0
8,34,0.0,000021-median-max-vesselunet-drive.png,vesselunet,drive,2.0
9,31,3.0,000021-median-max-vgan-drive.png,vgan,drive,2.0
10,39,3.0,000021-median-max-eswanet-drive.png,eswanet,drive,2.0
11,67,3.0,000021-median-max-iternet_uni-drive.png,iternet_uni,drive,2.0
12,38,4.0,000021-median-max-laddernet-drive.png,laddernet,drive,2.0
13,41,5.0,000021-median-max-unet-drive.png,unet,drive,2.0
14,50,5.0,000021-median-max-saunet-drive.png,saunet,drive,2.0
15,65,5.0,000021-median-max-iternet-drive.png,iternet,drive,2.0
16,22,0.0,000594-min-vesselunet-drive.png,vesselunet,drive,3.0
17,37,1.0,000594-min-vgan-drive.png,vgan,drive,3.0
18,29,3.0,000594-min-laddernet-drive.png,laddernet,drive,3.0
19,49,4.0,000594-min-unet-drive.png,unet,drive,3.0
20,36,5.0,000594-min-saunet-drive.png,saunet,drive,3.0
21,52,5.0,000594-min-iternet-drive.png,iternet,drive,3.0
22,54,5.0,000594-min-iternet_uni-drive.png,iternet_uni,drive,3.0
23,56,5.0,000594-min-eswanet-drive.png,eswanet,drive,3.0
24,27,0.0,001771-median-vesselunet-drive.png,vesselunet,drive,4.0
25,20,3.0,001771-median-iternet_uni-drive.png,iternet_uni,drive,4.0
26,25,3.0,001771-median-laddernet-drive.png,laddernet,drive,4.0
27,46,3.0,001771-median-saunet-drive.png,saunet,drive,4.0
28,58,3.0,001771-median-unet-drive.png,unet,drive,4.0
29,43,5.0,001771-median-eswanet-drive.png,eswanet,drive,4.0
30,55,5.0,001771-median-iternet-drive.png,iternet,drive,4.0
31,21,6.0,001771-median-vgan-drive.png,vgan,drive,4.0
32,59,0.0,003597-max-vesselunet-drive.png,vesselunet,drive,5.0
33,24,3.0,003597-max-saunet-drive.png,saunet,drive,5.0
34,53,3.0,003597-max-laddernet-drive.png,laddernet,drive,5.0
35,62,3.0,003597-max-eswanet-drive.png,eswanet,drive,5.0
36,63,3.0,003597-max-vgan-drive.png,vgan,drive,5.0
37,23,5.0,003597-max-iternet_uni-drive.png,iternet_uni,drive,5.0
38,44,5.0,003597-max-unet-drive.png,unet,drive,5.0
39,35,6.0,003597-max-iternet-drive.png,iternet,drive,5.0
40,51,0.0,003945-max-vesselunet-drive.png,vesselunet,drive,6.0
41,42,2.0,003945-max-laddernet-drive.png,laddernet,drive,6.0
42,32,3.0,003945-max-vgan-drive.png,vgan,drive,6.0
43,60,3.0,003945-max-saunet-drive.png,saunet,drive,6.0
44,33,4.0,003945-max-unet-drive.png,unet,drive,6.0
45,30,5.0,003945-max-iternet_uni-drive.png,iternet_uni,drive,6.0
46,47,5.0,003945-max-iternet-drive.png,iternet,drive,6.0
47,26,6.0,003945-max-eswanet-drive.png,eswanet,drive,6.0
48,70,0.0,000001-median-iternet-stare.png,iternet,stare,7.0
49,93,1.0,000001-median-vgan-stare.png,vgan,stare,7.0
50,108,2.0,000001-median-saunet-stare.png,saunet,stare,7.0
51,95,3.0,000001-median-unet-stare.png,unet,stare,7.0
52,80,4.0,000001-median-iternet_uni-stare.png,iternet_uni,stare,7.0
53,83,5.0,000001-median-laddernet-stare.png,laddernet,stare,7.0
54,104,6.0,000001-median-eswanet-stare.png,eswanet,stare,7.0
55,87,7.0,000001-median-vesselunet-stare.png,vesselunet,stare,7.0
56,98,0.0,000257-min-iternet-stare.png,iternet,stare,8.0
57,77,1.0,000257-min-saunet-stare.png,saunet,stare,8.0
58,69,3.0,000257-min-vgan-stare.png,vgan,stare,8.0
59,105,3.0,000257-min-unet-stare.png,unet,stare,8.0
60,107,4.0,000257-min-eswanet-stare.png,eswanet,stare,8.0
