survey_id,question_id,image_id,dataset,filename,type,disease_token
1,1,28,DRIVE,000017-min-vgan-drive.png,segmap,normal
1,1,57,DRIVE,000017-min-eswanet-drive.png,segmap,normal
1,1,11,originals,000017.png,original,normal
1,2,28,DRIVE,000017-min-vgan-drive.png,segmap,normal
1,2,61,DRIVE,000017-min-laddernet-drive.png,segmap,normal
1,2,11,originals,000017.png,original,normal
1,3,48,DRIVE,000017-min-vesselunet-drive.png,segmap,normal
1,3,66,DRIVE,000017-min-iternet_uni-drive.png,segmap,normal
1,3,11,originals,000017.png,original,normal
1,4,40,DRIVE,000017-min-iternet-drive.png,segmap,normal
1,4,57,DRIVE,000017-min-eswanet-drive.png,segmap,normal
1,4,11,originals,000017.png,original,normal
1,5,28,DRIVE,000017-min-vgan-drive.png,segmap,normal
1,5,40,DRIVE,000017-min-iternet-drive.png,segmap,normal
1,5,11,originals,000017.png,original,normal
1,6,28,DRIVE,000017-min-vgan-drive.png,segmap,normal
1,6,45,DRIVE,000017-min-saunet-drive.png,segmap,normal
1,6,11,originals,000017.png,original,normal
1,7,48,DRIVE,000017-min-vesselunet-drive.png,segmap,normal
1,7,64,DRIVE,000017-min-unet-drive.png,segmap,normal
1,7,11,originals,000017.png,original,normal
1,8,48,DRIVE,000017-min-vesselunet-drive.png,segmap,normal
1,8,57,DRIVE,000017-min-eswanet-drive.png,segmap,normal
1,8,11,originals,000017.png,original,normal
1,9,61,DRIVE,000017-min-laddernet-drive.png,segmap,normal
1,9,64,DRIVE,000017-min-unet-drive.png,segmap,normal
1,9,11,originals,000017.png,original,normal
1,10,40,DRIVE,000017-min-iternet-drive.png,segmap,normal
1,10,48,DRIVE,000017-min-vesselunet-drive.png,segmap,normal
1,10,11,originals,000017.png,original,normal
1,11,28,DRIVE,000017-min-vgan-drive.png,segmap,normal
1,11,48,DRIVE,000017-min-vesselunet-drive.png,segmap,normal
1,11,11,originals,000017.png,original,normal
1,12,40,DRIVE,000017-min-iternet-drive.png,segmap,normal
1,12,61,DRIVE,000017-min-laddernet-drive.png,segmap,normal
1,12,11,originals,000017.png,original,normal
1,13,45,DRIVE,000017-min-saunet-drive.png,segmap,normal
1,13,64,DRIVE,000017-min-unet-drive.png,segmap,normal
1,13,11,originals,000017.png,original,normal
1,14,40,DRIVE,000017-min-iternet-drive.png,segmap,normal
1,14,64,DRIVE,000017-min-unet-drive.png,segmap,normal
1,14,11,originals,000017.png,original,normal
1,15,48,DRIVE,000017-min-vesselunet-drive.png,segmap,normal
1,15,61,DRIVE,000017-min-laddernet-drive.png,segmap,normal
1,15,11,originals,000017.png,original,normal
1,16,28,DRIVE,000017-min-vgan-drive.png,segmap,normal
1,16,64,DRIVE,000017-min-unet-drive.png,segmap,normal
1,16,11,originals,000017.png,original,normal
1,17,57,DRIVE,000017-min-eswanet-drive.png,segmap,normal
1,17,64,DRIVE,000017-min-unet-drive.png,segmap,normal
