id,filename,dataset,type,disease_token
1,001533.png,originals,original,normal
2,000007.jpg,originals,original,normal
3,000001.png,originals,original,normal
4,000291.png,originals,original,normal
5,000520.png,originals,original,normal
7,003597.png,originals,original,normal
8,000257.png,originals,original,normal
9,000594.png,originals,original,normal
10,000278.png,originals,original,normal
11,000017.png,originals,original,normal
12,002391.jpg,originals,original,normal
13,000000.jpg,originals,original,normal
15,003945.png,originals,original,normal
16,000021.png,originals,original,normal
17,001219.jpg,originals,original,normal
18,000005.jpg,originals,original,normal
19,001771.png,originals,original,normal
