,img_pair,question,img1,img2,answer,survey,observer,is_redundant,img1_fname,img2_fname,answer_fname,network,dataset
0,s9-q340-im91-im115-impicker,340,91,115,115,9,2,False,000278-median-unet-stare.png,000278-median-iternet-stare.png,000278-median-iternet-stare.png,iternet,stare
1,s9-q337-im75-im85-impicker,337,75,85,85,9,2,False,000278-median-vesselunet-stare.png,000278-median-laddernet-stare.png,000278-median-laddernet-stare.png,laddernet,stare
2,s9-q342-im97-im106-impicker,342,97,106,97,9,2,False,000278-median-saunet-stare.png,000278-median-eswanet-stare.png,000278-median-saunet-stare.png,saunet,stare
3,s9-q376-im85-im97-impicker,376,85,97,97,9,2,False,000278-median-laddernet-stare.png,000278-median-saunet-stare.png,000278-median-saunet-stare.png,saunet,stare
4,s9-q378-im97-im106-impicker,378,97,106,106,9,2,True,000278-median-saunet-stare.png,000278-median-eswanet-stare.png,000278-median-eswanet-stare.png,eswanet,stare
5,s9-q350-im71-im106-impicker,350,71,106,71,9,2,False,000278-median-iternet_uni-stare.png,000278-median-eswanet-stare.png,000278-median-iternet_uni-stare.png,iternet_uni,stare
6,s9-q369-im81-im97-impicker,369,81,97,81,9,2,False,000278-median-vgan-stare.png,000278-median-saunet-stare.png,000278-median-vgan-stare.png,vgan,stare
7,s9-q374-im85-im97-impicker,374,85,97,97,9,2,True,000278-median-laddernet-stare.png,000278-median-saunet-stare.png,000278-median-saunet-stare.png,saunet,stare
8,s9-q360-im106-im115-impicker,360,106,115,115,9,2,False,000278-median-eswanet-stare.png,000278-median-iternet-stare.png,000278-median-iternet-stare.png,iternet,stare
9,s9-q375-im75-im85-impicker,375,75,85,85,9,2,True,000278-median-vesselunet-stare.png,000278-median-laddernet-stare.png,000278-median-laddernet-stare.png,laddernet,stare
10,s9-q357-im75-im91-impicker,357,75,91,91,9,2,False,000278-median-vesselunet-stare.png,000278-median-unet-stare.png,000278-median-unet-stare.png,unet,stare
11,s9-q365-im97-im115-impicker,365,97,115,97,9,2,False,000278-median-saunet-stare.png,000278-median-iternet-stare.png,000278-median-saunet-stare.png,saunet,stare
12,s9-q372-im71-im115-impicker,372,71,115,115,9,2,False,000278-median-iternet_uni-stare.png,000278-median-iternet-stare.png,000278-median-iternet-stare.png,iternet,stare
13,s9-q355-im85-im115-impicker,355,85,115,115,9,2,False,000278-median-laddernet-stare.png,000278-median-iternet-stare.png,000278-median-iternet-stare.png,iternet,stare
14,s9-q367-im75-im97-impicker,367,75,97,97,9,2,False,000278-median-vesselunet-stare.png,000278-median-saunet-stare.png,000278-median-saunet-stare.png,saunet,stare
15,s9-q349-im91-im106-impicker,349,91,106,91,9,2,False,000278-median-unet-stare.png,000278-median-eswanet-stare.png,000278-median-unet-stare.png,unet,stare
16,s9-q371-im75-im91-impicker,371,75,91,91,9,2,True,000278-median-vesselunet-stare.png,000278-median-unet-stare.png,000278-median-unet-stare.png,unet,stare
17,s9-q344-im81-im106-impicker,344,81,106,106,9,2,False,000278-median-vgan-stare.png,000278-median-eswanet-stare.png,000278-median-eswanet-stare.png,eswanet,stare
18,s9-q354-im81-im85-impicker,354,81,85,81,9,2,False,000278-median-vgan-stare.png,000278-median-laddernet-stare.png,000278-median-vgan-stare.png,vgan,stare
19,s9-q368-im81-im115-impicker,368,81,115,81,9,2,False,000278-median-vgan-stare.png,000278-median-iternet-stare.png,000278-median-vgan-stare.png,vgan,stare
20,s9-q351-im106-im115-impicker,351,106,115,115,9,2,True,000278-median-eswanet-stare.png,000278-median-iternet-stare.png,000278-median-iternet-stare.png,iternet,stare
21,s9-q345-im75-im106-impicker,345,75,106,75,9,2,False,000278-median-vesselunet-stare.png,000278-median-eswanet-stare.png,000278-median-vesselunet-stare.png,vesselunet,stare
22,s9-q362-im75-im81-impicker,362,75,81,81,9,2,False,000278-median-vesselunet-stare.png,000278-median-vgan-stare.png,000278-median-vgan-stare.png,vgan,stare
23,s9-q364-im71-im81-impicker,364,71,81,81,9,2,False,000278-median-iternet_uni-stare.png,000278-median-vgan-stare.png,000278-median-vgan-stare.png,vgan,stare
24,s9-q359-im81-im91-impicker,359,81,91,91,9,2,False,000278-median-vgan-stare.png,000278-median-unet-stare.png,000278-median-unet-stare.png,unet,stare
25,s9-q343-im75-im106-impicker,343,75,106,106,9,2,True,000278-median-vesselunet-stare.png,000278-median-eswanet-stare.png,000278-median-eswanet-stare.png,eswanet,stare
26,s9-q352-im85-im91-impicker,352,85,91,91,9,2,False,000278-median-laddernet-stare.png,000278-median-unet-stare.png,000278-median-unet-stare.png,unet,stare
27,s9-q353-im75-im115-impicker,353,75,115,115,9,2,False,000278-median-vesselunet-stare.png,000278-median-iternet-stare.png,000278-median-iternet-stare.png,iternet,stare
28,s9-q347-im85-im106-impicker,347,85,106,85,9,2,False,000278-median-laddernet-stare.png,000278-median-eswanet-stare.png,000278-median-laddernet-stare.png,laddernet,stare
29,s9-q361-im71-im81-impicker,361,71,81,71,9,2,True,000278-median-iternet_uni-stare.png,000278-median-vgan-stare.png,000278-median-iternet_uni-stare.png,iternet_uni,stare
30,s9-q366-im71-im85-impicker,366,71,85,71,9,2,False,000278-median-iternet_uni-stare.png,000278-median-laddernet-stare.png,000278-median-iternet_uni-stare.png,iternet_uni,stare
31,s9-q370-im71-im97-impicker,370,71,97,71,9,2,False,000278-median-iternet_uni-stare.png,000278-median-saunet-stare.png,000278-median-iternet_uni-stare.png,iternet_uni,stare
32,s9-q358-im71-im85-impicker,358,71,85,71,9,2,True,000278-median-iternet_uni-stare.png,000278-median-laddernet-stare.png,000278-median-iternet_uni-stare.png,iternet_uni,stare
33,s9-q373-im71-im75-impicker,373,71,75,71,9,2,False,000278-median-iternet_uni-stare.png,000278-median-vesselunet-stare.png,000278-median-iternet_uni-stare.png,iternet_uni,stare
34,s9-q339-im71-im91-impicker,339,71,91,71,9,2,False,000278-median-iternet_uni-stare.png,000278-median-unet-stare.png,000278-median-iternet_uni-stare.png,iternet_uni,stare
35,s9-q338-im97-im115-impicker,338,97,115,115,9,2,True,000278-median-saunet-stare.png,000278-median-iternet-stare.png,000278-median-iternet-stare.png,iternet,stare
36,s9-q377-im85-im91-impicker,377,85,91,91,9,2,True,000278-median-laddernet-stare.png,000278-median-unet-stare.png,000278-median-unet-stare.png,unet,stare
37,s9-q356-im75-im97-impicker,356,75,97,75,9,2,True,000278-median-vesselunet-stare.png,000278-median-saunet-stare.png,000278-median-vesselunet-stare.png,vesselunet,stare
38,s9-q346-im91-im97-impicker,346,91,97,91,9,2,False,000278-median-unet-stare.png,000278-median-saunet-stare.png,000278-median-unet-stare.png,unet,stare
39,s9-q341-im85-im115-impicker,341,85,115,115,9,2,True,000278-median-laddernet-stare.png,000278-median-iternet-stare.png,000278-median-iternet-stare.png,iternet,stare
40,s9-q348-im91-im115-impicker,348,91,115,115,9,2,True,000278-median-unet-stare.png,000278-median-iternet-stare.png,000278-median-iternet-stare.png,iternet,stare
