id,filename,dataset,type,disease_token
26,000000-saunet-chase.png,CHASE,segmap,normal
27,001197-vgan-chase.png,CHASE,segmap,normal
28,000006-vgan-chase.png,CHASE,segmap,normal
29,002381-vesselunet-chase.png,CHASE,segmap,normal
30,003552-unet-chase.png,CHASE,segmap,normal
31,000001-iternet_uni-chase.png,CHASE,segmap,normal
32,002381-vgan-chase.png,CHASE,segmap,normal
33,002391-iternet_uni-chase.png,CHASE,segmap,normal
34,000004-vgan-chase.png,CHASE,segmap,normal
35,000762-saunet-chase.png,CHASE,segmap,normal
36,002401-vesselunet-chase.png,CHASE,segmap,normal
37,001202-iternet_uni-chase.png,CHASE,segmap,normal
38,002401-iternet-chase.png,CHASE,segmap,normal
39,000003-eswanet-chase.png,CHASE,segmap,normal
40,000002-unet-chase.png,CHASE,segmap,normal
41,001187-saunet-chase.png,CHASE,segmap,normal
42,000004-saunet-chase.png,CHASE,segmap,normal
43,001189-iternet-chase.png,CHASE,segmap,normal
44,003569-unet-chase.png,CHASE,segmap,normal
45,001202-vgan-chase.png,CHASE,segmap,normal
46,002361-eswanet-chase.png,CHASE,segmap,normal
47,002401-saunet-chase.png,CHASE,segmap,normal
48,000007-saunet-chase.png,CHASE,segmap,normal
49,003552-laddernet-chase.png,CHASE,segmap,normal
50,001187-eswanet-chase.png,CHASE,segmap,normal
51,001691-iternet-chase.png,CHASE,segmap,normal
52,000003-vgan-chase.png,CHASE,segmap,normal
53,001202-saunet-chase.png,CHASE,segmap,normal
54,003131-iternet-chase.png,CHASE,segmap,normal
55,002401-unet-chase.png,CHASE,segmap,normal
56,001197-eswanet-chase.png,CHASE,segmap,normal
57,000003-saunet-chase.png,CHASE,segmap,normal
58,002363-eswanet-chase.png,CHASE,segmap,normal
59,001094-iternet_uni-chase.png,CHASE,segmap,normal
60,003569-iternet_uni-chase.png,CHASE,segmap,normal
61,001094-vgan-chase.png,CHASE,segmap,normal
62,000762-iternet-chase.png,CHASE,segmap,normal
63,002361-laddernet-chase.png,CHASE,segmap,normal
64,000000-vesselunet-chase.png,CHASE,segmap,normal
65,001189-unet-chase.png,CHASE,segmap,normal
66,000004-vesselunet-chase.png,CHASE,segmap,normal
67,002379-vesselunet-chase.png,CHASE,segmap,normal
68,000006-unet-chase.png,CHASE,segmap,normal
69,002381-eswanet-chase.png,CHASE,segmap,normal
70,000001-saunet-chase.png,CHASE,segmap,normal
71,000001-unet-chase.png,CHASE,segmap,normal
72,001185-vgan-chase.png,CHASE,segmap,normal
73,001187-vesselunet-chase.png,CHASE,segmap,normal
74,002401-eswanet-chase.png,CHASE,segmap,normal
75,002379-unet-chase.png,CHASE,segmap,normal
76,002381-laddernet-chase.png,CHASE,segmap,normal
77,000003-vesselunet-chase.png,CHASE,segmap,normal
78,001189-iternet_uni-chase.png,CHASE,segmap,normal
79,001197-laddernet-chase.png,CHASE,segmap,normal
80,000003-unet-chase.png,CHASE,segmap,normal
81,001189-saunet-chase.png,CHASE,segmap,normal
82,000762-unet-chase.png,CHASE,segmap,normal
83,001094-iternet-chase.png,CHASE,segmap,normal
84,000007-vgan-chase.png,CHASE,segmap,normal
85,000007-vesselunet-chase.png,CHASE,segmap,normal
86,000000-eswanet-chase.png,CHASE,segmap,normal
87,001187-vgan-chase.png,CHASE,segmap,normal
88,000762-iternet_uni-chase.png,CHASE,segmap,normal
89,000006-vesselunet-chase.png,CHASE,segmap,normal
90,003552-vesselunet-chase.png,CHASE,segmap,normal
91,002405-vesselunet-chase.png,CHASE,segmap,normal
92,003552-iternet_uni-chase.png,CHASE,segmap,normal
93,000002-iternet_uni-chase.png,CHASE,segmap,normal
