,Unnamed: 0,img_pair,question,img1,img2,answer,survey,observer,is_redundant,img1_fname,img2_fname,answer_fname,network,dataset
0,0,s41-q982-im45-im111-impicker,982,45,111,111,41,2,False,001202-vgan-chase.png,001202-laddernet-chase.png,001202-laddernet-chase.png,laddernet,chase
1,1,s41-q986-im37-im53-impicker,986,37,53,53,41,2,False,001202-iternet_uni-chase.png,001202-saunet-chase.png,001202-saunet-chase.png,saunet,chase
2,2,s41-q985-im111-im213-impicker,985,111,213,213,41,2,False,001202-laddernet-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
3,3,s41-q983-im111-im151-impicker,983,111,151,151,41,2,False,001202-laddernet-chase.png,001202-unet-chase.png,001202-unet-chase.png,unet,chase
4,4,s41-q977-im45-im151-impicker,977,45,151,45,41,2,False,001202-vgan-chase.png,001202-unet-chase.png,001202-vgan-chase.png,vgan,chase
5,5,s41-q995-im165-im223-impicker,995,165,223,223,41,2,False,001202-iternet-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
6,6,s41-q981-im151-im165-impicker,981,151,165,151,41,2,False,001202-unet-chase.png,001202-iternet-chase.png,001202-unet-chase.png,unet,chase
7,7,s41-q979-im213-im223-impicker,979,213,223,213,41,2,False,001202-eswanet-chase.png,001202-vesselunet-chase.png,001202-eswanet-chase.png,eswanet,chase
8,8,s41-q1001-im45-im213-impicker,1001,45,213,45,41,2,False,001202-vgan-chase.png,001202-eswanet-chase.png,001202-vgan-chase.png,vgan,chase
9,9,s41-q998-im37-im223-impicker,998,37,223,223,41,2,False,001202-iternet_uni-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
10,10,s41-q988-im37-im151-impicker,988,37,151,151,41,2,False,001202-iternet_uni-chase.png,001202-unet-chase.png,001202-unet-chase.png,unet,chase
11,11,s41-q999-im53-im111-impicker,999,53,111,53,41,2,False,001202-saunet-chase.png,001202-laddernet-chase.png,001202-saunet-chase.png,saunet,chase
12,12,s41-q1008-im37-im45-impicker,1008,37,45,45,41,2,False,001202-iternet_uni-chase.png,001202-vgan-chase.png,001202-vgan-chase.png,vgan,chase
13,13,s41-q978-im45-im151-impicker,978,45,151,45,41,2,True,001202-vgan-chase.png,001202-unet-chase.png,001202-vgan-chase.png,vgan,chase
